"Dataset","k","p_eff","k/p","I2","Standard_R2","Standard_CV","LASSO_R2","LASSO_CV","Ridge_R2","Ridge_CV","LASSO_n","LASSO_vars","lambda_choice","Opt_Std","Opt_LASSO","Opt_Ridge"
"BCG",13,3,4.3,92.2,64.6,21,23.6,0,23.6,2,0,"","lambda.1se",43.7,23.6,21.6
"Teacher",19,2,9.5,41.9,40.6,35.7,0,0,0,0,0,"","lambda.1se",4.9,0,0
"Konstantopoulos",56,2,28,94.7,0,6.9,12.6,5.2,12.6,7.9,0,"","lambda.1se",-6.9,7.5,4.7
"Berkey",10,2,5,98.3,0,0,10.4,0,10.4,0,0,"","lambda.1se",0,10.4,10.4
"Hackshaw",37,1,37,29.6,0,0,0,0,0,0,0,"","lambda.1se",0,0,0
