"Dataset","k","p_eff","k/p","Standard_R2","Standard_CV","LASSO_R2","LASSO_CV","Ridge_R2","Ridge_CV","LASSO_selected","Opt_Standard","Opt_LASSO","Opt_Ridge"
"BCG",13,3,4.3,64.6,21,23.6,0,23.6,2,0,43.7,23.6,21.6
"Teacher",19,2,9.5,40.6,35.7,0,0,0,0,0,4.9,0,0
"Konstantopoulos",56,2,28,0,6.9,12.6,5.2,12.6,7.9,0,-6.9,7.5,4.7
"Berkey",10,2,5,0,0,10.4,0,10.4,0,0,0,10.4,10.4
