"Dataset","k","p","k_p_ratio","I2","Std_Apparent","Std_CV","Std_Optimism","LASSO_min_Apparent","LASSO_min_CV","LASSO_min_Optimism","LASSO_min_lambda","LASSO_min_selected","LASSO_1se_Apparent","LASSO_1se_CV","LASSO_1se_Optimism","LASSO_1se_lambda","LASSO_1se_selected","Ridge_min_Apparent","Ridge_min_CV","Ridge_min_Optimism","Ridge_min_lambda","Ridge_1se_Apparent","Ridge_1se_CV","Ridge_1se_Optimism","Ridge_1se_lambda","Nested_CV_R2","Lambda_Variability","Perm_pvalue","Overfit_Ratio"
"BCG",13,2,6.5,92.2213860749656,64.6321749396932,6.31976364756319,58.31241129213,55.5076920186057,4.51844608248511,50.9892459361206,0.119150663074988,1,8.92288004514331,0,8.92288004514331,0.399345678223249,0,55.4349069778674,25.0179079895016,30.4169989883658,0.339345362185474,8.92288004514331,0,8.92288004514331,399.345678223249,0,0.879651375472092,0.079,2.48564009558586
"Teacher",19,1,19,41.8570912145439,40.6333985689939,0,40.6333985689939,5.09077302295916,0,5.09077302295916,71.6815789603967,1,0,0,0,883.72400899384,0,3.05932044862739,0,3.05932044862739,325.067251856225,0,0,0,883724.008993842,0,0.932884527913272,0.005,26.773241889123
"Konstantopoulos",56,1,56,94.7049295445158,0,0,0,5.04821906829716,0,5.04821906829716,338.538097267296,0,5.04821906829716,0,5.04821906829716,338.538097267296,0,5.13966592378591,0.345176860447116,4.79448906333879,133526.401459217,5.04821906829716,0.325269165920827,4.72294990237633,338538.097267297,0,0.783198146818683,1,1
"Berkey",10,1,10,98.3109460428222,0,0,0,10.1618035266685,0,10.1618035266685,17.592715962884,0,10.1618035266685,0,10.1618035266685,17.592715962884,0,10.1618035266685,0,10.1618035266685,17592.715962884,10.1618035266685,0,10.1618035266685,17592.715962884,0,0.69660316556987,1,0.568603012367729
"Hackshaw",37,1,37,29.5699817684802,0,28.6567946115442,-28.6567946115442,60.4687189926219,15.2574979854035,45.2112210072183,210.882063026009,0,60.4687189926219,15.2574979854035,45.2112210072183,210.882063026009,0,60.4687189926219,35.0916284423751,25.3770905502468,210882.06302601,60.4687189926219,35.0916284423751,25.3770905502468,210882.06302601,20.4859440349471,0.594589497617334,1,0.917786161756578
